	sentiment	text	selected_text	pred	has_pattern	seperate
16200	negative	off to work... off at 10:30....lammmeeee	lammmeeee	10:30....lammmeeee	True	True
17437	negative	Lies...lies...lies....you just cant avoid to lie about practically...EVERYTHING!	lies	lies...lies...lies....you	True	True
853	positive	Just got confirmed that itï¿½s pizza-time with some ex co-workers on friday...looking forward to it	looking forward to it	friday...looking forward	True	True
641	positive	_michele thanks for that...am now following them...love good causes	love good causes	them...love good causes	True	True
20086	positive	_Perth Awesome...love top gear..whos your favourite?Got to admit i have a soft spot for captain slow	love top gear..	awesome...love	True	True
19357	positive	beach...yummy steak and catching up on `lost` with my man...lovely day	lovely	man...lovely day	True	True
5449	positive	when living in Spain..you can NEVER take a hot shower for granted..luckily I have nice friends across the street	luckily I have nice friends across the street	granted..luckily	False	True
17819	negative	got an ear infection...man that **** hurts!	man that **** hurts!	hurts!	True	True
19422	negative	so bored...miss everybody already	miss	bored...miss	True	True
18569	negative	Just looked at the date...today the one year anniversary of my Grandmother...miss her mane um sad	miss her mane um sad	grandmother...miss her mane um sad	True	True
6083	negative	crashing from my WI high...missing mayfield	missing	crashing from my wi high...missing	True	True
27204	negative	Left Cali this morning...in Dallas now..missing my car SO MUCH!!!	missing my car SO MUCH!!!	now..missing my car so much!!!	True	True
3491	negative	ahh..my stomach hurts	my stomach hurts	hurts	False	True
10166	positive	Adobe After Effects and MS SQL Server...nice. would it be nicer if I just sleep?	nice.	server...nice.	True	True
22610	neutral	...normal hours to give any interested twitter friends a glimpse into a topic near and dear to us.	normal hours to give any interested twitter friends a glimpse into a topic near and dear to us.	...normal hours to give any interested twitter friends a glimpse into a topic near and dear to us.	False	True
26893	negative	The chicken noodle soup I made for lunch to feel better just burned my tongue . . .not a good day.	not a good day.	burned my tongue . . .not a good day.	False	True
19716	negative	elliott claims steak and shake has been doing this for months...not exciting anymore...	not exciting anymore...	months...not exciting anymore...	True	True
18648	negative	_Thomas ahhhh probably will...not good u been Dubai before??	not good	will...not good	True	True
15205	negative	oh men..not in the mood I`ll go home tomorrow..wanna be w/ my family..its my birthday	not in the mood	men..not in the mood	False	True
10184	negative	I ruined my lunch by eating half a bag of cheddar popcorn....now I feel sick.	now I feel sick.	popcorn....now i feel sick.	True	True
189	negative	lost my tooth 2day whilst i was eating gum...oww	oww	lost	True	True
11877	positive	_Dubai Enjoy sounds idyllic AND Geordiebird has lost her bikini...perfect holiday!	perfect holiday!	enjoy sounds idyllic	True	True
348	positive	90 degrees, gross skies, and thunderstorms...perfect match for my mood lol	perfect ma	thunderstorms...perfect	True	True
18329	negative	Watchin Hollyoaks...poor Justin!	poor	hollyoaks...poor	True	True
26087	negative	taking Willy to the specialist...poor dog! He has to get a CT scan cos he can`t walk properly atm	poor dog! He	specialist...poor dog!	True	True
8443	negative	you know ur dog is getting old when she sits down to eat...poor hilly please don`t grow up	poor hilly	eat...poor hilly please don`t grow up	True	True
4470	negative	Don`t know what to do right now...pretty bored, but I refuse to study. Any suggestions?	pretty bored, but I refuse to study.	now...pretty bored,	True	True
13481	negative	oops i did it again...really shouldnt have.	really shouldnt have.	again...really shouldnt have.	True	True
8950	positive	Just got done working out....relaxing than off to work	relaxing	out....relaxing	True	True
5355	negative	is updating an old ipod...sad...i miss my orange nano	sad..	ipod...sad...i	True	True
21398	positive	doing some DIY- I`m dying mg clothes black again...save some money	save	again...save some money	True	True
12394	negative	Struggling...selfishness and jealousy doesn`t get you any further in life... ohh myyy	selfishness	struggling...selfishness	True	True
1341	positive	its so nice.. I LUV KELLY...she`s such an amazing singer LUV HER	she`s such an amazing singer	its so nice..	True	True
18539	negative	Oh man....my fiance just got off work and I start mine in 1 hour....so not fair.....	so not fair....	hour....so not fair.....	True	True
8901	neutral	Brad Paisley+Alison Krauss- Whiskey Lullaby...so sad but its awesome!	so sad but its awesome!	brad paisley+alison krauss- whiskey lullaby...so sad but its awesome!	True	True
10638	negative	so much for an amazing day...some pervert just ruined it	some pervert just ruined it	ruined it	True	True
9299	negative	went to the dmv today.....some things never change	some things never change	today.....some things never change	True	True
9688	positive	up at 4:30am west coast time..gettin ready to catch my flight back home..soooo excited to go back to my two fav boyzzzz puppy n BF	soooo excited to go back to my two fav boyzzzz puppy n BF	home..soooo excited	False	True
3945	negative	_zorz_peep count yourself lucky i was gonna say the OTHER word instead...and rsvp...sorry i cant come to ur birthday...day?	sorry	rsvp...sorry	True	True
8427	negative	about to rehearse...starving!!!	starving!!	rehearse...starving!!!	True	True
2272	neutral	#twpp ..still nw in trending topics..	still nw in trending topics..	#twpp ..still nw in trending topics..	False	True
2994	neutral	Hmmm...strained my back Hope it`s better tomorrow morning..	strained my back Hope it`s better tomorrow morning..	hmmm...strained my back hope it`s better tomorrow morning..	True	True
13664	negative	I have to work in the morning while my friends get to party it up.....stupid bberry lite flashing red and I have no messages!	stupid	up.....stupid	True	True
12549	positive	alphonso milkshake in the morning, lassi in the afternoon and fresh nimbupaani in the evening....summers can be fun	summers can be fun	evening....summers can be fun	True	True
11797	positive	Up way way way to early this am....thanks _benson	thanks _benson	am....thanks	True	True
20736	positive	Oh man now it`s raining...seatbelt now buckled...thanks bates for wishing I have a blow out and flip and burn up	thanks bates for wishing	buckled...thanks	True	True
24136	negative	OUCH!!!!!!!!!!!!!!!.........that really hurt!!!	that really hurt!!!	ouch!!!!!!!!!!!!!!!.........that really hurt!!!	False	True
8990	positive	Thought I`d check out home, that was 10 minutes ago, downloading update, now home square....that`s why I can`t be bothered with it Sony	that`s why I can`t be bothered with it Sony	square....that`s why i can`t be bothered with it sony	True	True
26247	negative	_Gates am also gutted...the end is nigh x	the end is nigh	gutted...the	True	True
6307	negative	I dont like the dentist...they make my gums hurt	they make my gums hurt	hurt	True	True
4456	negative	is sitting in the marshall center w/Mina. Some1 must really not want me to go to the gym..this time i lost my wallet n w/no ID i cant go	this time i lost my wallet	lost	False	True
5354	negative	Back at work.....too much email in my inbox....	too much	work.....too much email in my inbox....	True	True
16774	negative	NO MORE MSHS!!!!!!!! Gotta go to work...too tired	too tired	work...too tired	True	True
11904	negative	to start **** or leave **** alone...tough decision	tough decision	alone...tough decision	True	True
2002	negative	Wishing it was a sunny day, then I might just be bothered to get outta bed! ..up the blues	up the blues	bothered	False	True
4099	positive	Revamping my recording studio today and adding some nice high end outboard gear...very exited!	very exited!	gear...very exited!	True	True
16469	negative	Sorting out Twitter issues....very frustrated that you can`t talk to someone and they respond slowly to issues - capacity the challenges	very frustrated th	issues....very frustrated	True	True
21847	positive	Ken Wilber - Realistic Expectation of Integral Wisdom: http://tinyurl.com/clfzdx ...very interesting. I don`t mind the video quality.	very interesting.	...very interesting.	False	True
14838	negative	just got back from..ahem, meal#4...was boring but had to eat nonetheless	was boring but had to eat nonetheless	boring	True	True
23970	positive	Heeey, we won ice hockey....we are winners!!	we are winners!!	hockey....we are winners!!	True	True
4749	positive	F1 & Star Trek...what a great Sunday	what a great Sunday	great	True	True
19013	positive	Having Margaritas w/ mommie...what a great combo!	what a great combo!	mommie...what a great	True	True
20565	positive	Now I KNOW my shares are up...have 7 followers...wonderful! The sun is now shining brightly in `darkest Africa`...	wonderful! The sun is now shining brightly in `darkest Africa	followers...wonderful!	True	True
14661	negative	Jus sittn here thinkin....wow yo my boy is really gone! Smh yo! Its bout to be 3 weeks on Sunday! R.I.P VON	wow yo my boy is really gone! Smh yo! Its bout to be 3 weeks on Sunday! R.I.P VON	r.i.p von	True	True
14001	negative	doing my english essay (on r&j...wtf) that i should have done a long time ago when it was assigned last thursday	wtf)	r&j...wtf)	True	True
13811	positive	_marie Stick with me kidd...you`ll be alright (there`s a whole sketchy world out there waiting to be taken advantage of	you`ll be alright	kidd...you`ll be alright	True	True
23428	positive	#snl...you`ve gotten better keep it up	you`ve gotten better	#snl...you`ve gotten better keep it up	True	True
